Issue_Size(crores),QIB,HNI,RII,Offer Price,Month,Year,Demand_Gap,log_issue_size,Apply_Label,Nifty_Return_7d
835.61,67.14,17.86,4.63,577,12,2022,62.51,6.729358012080336,0,-1.6762769933554855
251.09,48.21,52.29,21.53,237,12,2022,26.68,5.529786166608236,1,-0.04673513880283364
635.0,3.84,3.03,0.53,541,11,2022,3.3099999999999996,6.455198563340122,0,0.4385016738053915
740.0,1.05,0.47,4.7,65,11,2022,-3.6500000000000004,6.608000625296087,0,-0.3377155476702365
857.82,98.47,21.21,4.1,587,11,2022,94.37,6.755559354042727,1,-0.5749413041724383
1462.31,48.91,14.9,9.96,407,11,2022,38.949999999999996,7.288456271943683,1,0.7307995568574421
1588.51,1.77,0.61,0.11,474,11,2022,1.66,7.371181071617635,0,0.7307995568574421
880.85,80.63,7.1,4.77,300,11,2022,75.86,6.782021973516374,0,1.614492310840232
2205.57,28.64,4.02,0.88,336,11,2022,27.76,7.69919455265688,1,1.614492310840232
1103.99,8.59,1.38,0.51,368,11,2022,8.08,7.007591564137148,0,1.9426522739089958
500.0,84.32,43.97,61.77,207,11,2022,22.54999999999999,6.2166061010848646,1,1.1258987056055991
309.38,1.66,0.23,2.39,80,10,2022,-0.7300000000000002,5.7377973532434785,0,3.4174151505512285
500.0,169.54,63.59,19.72,59,10,2022,149.82,6.2166061010848646,1,-0.11539481818667596
755.0,178.26,40.36,12.44,330,9,2022,165.82,6.628041376179533,1,-4.816693649858427
807.84,1.62,2.94,6.48,510,9,2022,-4.86,6.6956011224675285,0,1.2562630902222427
562.1,70.53,37.66,43.66,326,9,2022,26.870000000000005,6.333457232260573,1,0.7598845855550929
840.13,87.56,7.13,2.84,220,8,2022,84.72,6.73474622591049,1,-2.1474823933850695
808.04,17.57,1.33,0.59,642,6,2022,16.98,6.695848359593915,0,3.4850115649088576
412.79,4.05,1.28,2.61,256,6,2022,1.44,6.025358598755538,0,1.8998180723474256
402.26,1.06,0.76,0.32,878,5,2022,0.74,5.99958151520993,0,5.389198697916697
1501.73,3.01,0.32,0.8,42,5,2022,2.21,7.315038732897085,0,0.6905684745587726
165.42,12.02,6.59,11.12,326,5,2022,0.9000000000000004,5.114514713472284,0,2.173341347727553
5235.0,2.66,0.27,0.31,487,5,2022,2.35,8.56331312702979,0,2.173341347727553
537.94,1.26,0.74,0.61,630,5,2022,0.65,6.289604247458597,0,0.6126688375975853
20557.2,2.83,1.39,1.14,949,5,2022,1.6900000000000002,9.931015167098364,0,-0.9258904429126358
1580.85,38.9,1.37,0.7,542,5,2022,38.199999999999996,7.366350327144476,0,-5.827764668893909
1399.6,152.04,10.68,4.73,292,5,2022,147.31,7.244655995221417,1,-4.322886916398971
130.05,1.91,2.68,6.92,153,4,2022,-5.01,4.875578929769415,1,-3.2002281426164014
200.0,2.02,2.09,5.68,137,4,2022,-3.6599999999999997,5.303304908059076,1,1.203562712034234
60.0,2.81,0.94,6.28,68,4,2022,-3.47,4.110873864173311,1,1.8138213238992673
